timestamp,detection_id,class_name,confidence_percent,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_cam_x,center_cam_y,center_cam_z,map_valid,center_map_x,center_map_y,center_map_z,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_x,robot_orient_y,robot_orient_z,robot_orient_w,camera_pos_x,camera_pos_y,camera_pos_z,camera_orient_x,camera_orient_y,camera_orient_z,camera_orient_w
2026-06-26T14:59:10.915319,0,Door,82.57,7,17,519,712,-1.8413,0.0623,5.2610,True,-1.2471,-7.7994,0.9781,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:10.921415,1,Door,81.64,832,53,1210,698,1.9745,0.1158,5.1490,True,-4.1413,-5.3099,1.0202,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.012019,0,Door,83.01,5,17,519,713,-1.1796,0.0415,3.3610,True,-0.5661,-5.9106,1.1087,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.020115,1,Door,82.03,832,54,1210,700,2.0174,0.1260,5.2610,True,-4.2450,-5.3692,1.0055,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.114408,0,Door,78.32,833,53,1210,698,1.8959,0.1111,4.9380,True,-3.9475,-5.1959,1.0335,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.125227,1,Door,77.98,7,20,520,717,-1.2624,0.0568,3.6120,True,-0.6595,-6.1566,1.0790,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.234050,0,Door,77.98,834,53,1209,698,1.9769,0.1158,5.1490,True,-4.1432,-5.3084,1.0202,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.244072,1,Door,77.73,7,20,519,717,-1.2642,0.0568,3.6120,True,-0.6581,-6.1577,1.0790,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.352917,0,Door,79.64,832,53,1209,700,2.0149,0.1234,5.2610,True,-4.2430,-5.3710,1.0080,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.359711,1,Door,72.27,7,21,520,717,-1.2439,0.0577,3.5590,True,-0.6405,-6.1038,1.0812,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.446811,0,Door,76.71,831,53,1211,698,2.0174,0.1184,5.2610,True,-4.2451,-5.3697,1.0131,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.455696,1,Door,64.79,7,18,519,711,-1.2642,0.0428,3.6120,True,-0.6583,-6.1584,1.0930,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.550267,0,Door,79.10,832,53,1209,699,2.0149,0.1209,5.2610,True,-4.2431,-5.3711,1.0105,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.556808,1,Door,75.44,6,20,520,718,-1.9250,0.0891,5.5000,True,-1.3321,-8.0360,0.9375,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.659527,0,Door,78.81,832,51,1211,699,1.9355,0.1110,5.0410,True,-4.0431,-5.2509,1.0295,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
2026-06-26T14:59:11.667564,1,Door,75.78,6,21,520,717,-1.2642,0.0585,3.6120,True,-0.6581,-6.1576,1.0773,0.983154,-2.120231,0.000000,-0.000000,-0.000000,0.422810,0.906218,0.631460,-2.564016,1.344565,0.234038,0.685576,-0.646954,-0.238040
